,Dependent,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
1,-0.16,4.826388888888888,4.826388888888888,1.6111111111111107,-1.6111111111111107,0.46979553635275456,12.0,153.823,153.823,151.87541072,32,0,0.26568521128753525,-0.06642130282188381,0.26568521128753525,0.06642130282188381,0.8,0.8,0.8,35.625388254184024,11.841611745815971,2.1078899801062283,-1.9056260716405768,2.293436919704575,-1.806036919704575,6.831492563030869,1.7555074369691306,0.7219280948873623,3.0237157840738176,19.11941547876375,4.5,2.011857892036909,5.035573676110727,2.0,0.7559289460184544,2.2677868380553634,0.42857142857142844,3.857142857142857,0.0,0.0,0.0,0.0,1.16,3.6096404744368114,6.16,1.7418482569208207,38.291985731272305,49.952315935356246,0.0,0.0,0.0,0.0,3.2517177575741014,0.0,0.0,0.0,0.0,0.0,46.40375956093006,0.0,0.0,0.0,0.0,46.40375956093006,0.0,0.0,0.0,3.2517177575741014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.40375956093006,3.2517177575741014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2517177575741014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.40375956093006,-1.6111111111111107,19.305555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2.145957052526451,0,2.5529,26.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.64,9.12673611111111,9.12673611111111,0.15972222222222232,-0.4583333333333335,0.23156665130818369,7.4,139.936,137.92000000000002,138.926890404,30,0,0.25638590759615265,-0.2636383176135541,0.2636383176135541,0.25638590759615265,2.0,2.2,2.2,79.91872966349865,11.52980594274282,1.7896056884514975,-1.71783975231866,1.7440046122692363,-1.8825560157006596,9.087871549196453,-0.45423466022058856,1.3787834934861756,2.847378923087672,44.912609383243264,4.284457050376173,2.348781430623459,3.934777969738163,2.270055610029662,0.948637379599373,2.0701062873457756,0.4522573499305934,0.9537934924052728,0.0975900072948533,0.5070925528371099,0.0,0.0,-0.1200000000000001,9.65148445440323,4.880000000000001,2.1377319587628865,3.8799999999999994,37.259774355970706,0.0,0.0,0.0,0.0,5.454024430047994,0.0,10.114318268765572,0.0,0.0,0.0,0.0,15.929943897949348,4.923311048817671,0.0,4.923311048817671,15.929943897949348,0.0,0.0,0.0,0.0,5.454024430047994,10.114318268765572,0.0,0.0,0.0,0.0,0.0,15.929943897949348,10.377335478865664,0.0,10.114318268765572,0.0,0.0,0.0,0.0,0.0,43.14,4.923311048817671,0.0,0.0,5.454024430047994,0.0,0.0,0.0,0.0,0.0,15.929943897949348,10.114318268765572,0.0,2.6145833333333335,8.668402777777777,9.12673611111111,-0.15972222222222232,0.0,0.0,0.0,0.0,0.0,1.0,5,0,3,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,2.0864263917525774,0,0.6154999999999999,20.788399999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,5,3,1,0,0,0,0,1,6,3,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2.72,7.0,7.0,1.0,1.0,0.38528440447384316,3.0,32.042,28.009999999999998,32.026214748,14,0,0.031940683717728124,-0.3996302435573072,0.3996302435573072,0.031940683717728124,1.5,1.5,1.5,16.235703028195374,11.774296971804631,0.8391720167738221,-1.2068615766134012,0.7545197820005356,-1.2473197820005355,3.1778074852252667,0.39899251477473313,1.0,1.0,2.0,2.0,1.4472135954999579,1.4472135954999579,1.0,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,2.0,1.96,0.9600000000000016,-27.040000000000028,13.533484780025564,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109797541277533,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.216324936118239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.9408000000000016,0,-0.3915,8.1428,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.87,8.9375,8.9375,0.4027777777777777,0.4027777777777777,0.16923031798705804,5.25,60.056,56.023999999999994,60.032362748,24,0,0.22056147615737606,-0.2968962965192883,0.2968962965192883,0.22056147615737606,2.0,2.25,2.25,16.141037575431078,11.441986221949037,1.416580953591984,-1.6612403423444597,0.9916589422437233,-2.1772259953726687,5.438212157680905,-0.10909823628292249,1.370950594454669,2.2968352619191394,20.0,3.414213562373095,2.0629488288431146,2.0629488288431146,1.914213562373095,0.8130525295851416,0.8130525295851416,0.2845177968644247,0.2845177968644247,0.0680413817439772,0.0680413817439772,0.0,0.0,-0.5700000000000001,6.854752972273345,3.4299999999999993,2.4299999999999993,1.4299999999999984,23.760662028729048,0.0,0.0,0.0,6.410095306116121,0.0,0.0,10.220328581182207,5.842670270266239,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,6.410095306116121,0.0,5.425791397110385,5.842670270266239,0.0,0.0,0.0,0.0,0.0,11.268461667376624,0.0,0.0,0.0,6.410095306116121,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,55.120000000000005,0.0,0.0,0.0,0.0,6.410095306116121,0.0,0.0,5.425791397110385,0.0,5.842670270266239,4.794537184071822,0.0,0.0,8.9375,0.0,1.75,4.409722222222222,0.0,0.4027777777777777,0.0,0.0,0.0,4,3,3,0,0,0,1,0,0,0,0,0,2,2,3,0,1,0,0,0,0,0,2.083724999999999,0,-1.3939000000000004,13.3871,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,4,2,1,0,0,0,0,1,4,3,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-1.32,4.62037037037037,4.62037037037037,2.220446049250313e-16,2.220446049250313e-16,0.370873527205618,6.0,76.12400000000001,72.092,76.009519128,24,0,0.1604962987996412,-0.3765057148380912,0.3765057148380912,0.1604962987996412,1.5,1.5,1.5,32.09204493490108,11.259381501663794,1.5295358961718037,-1.6785231534272445,1.3212945883611318,-2.1781932553037127,7.7970834405284855,1.6517276766116944,0.8112781244591328,2.8030394876740514,29.019550008653873,3.5773502691896257,2.0629488288431146,2.8794454097708404,1.7320508075688772,0.7814744144215573,1.1897227048854202,0.40236892706218264,0.8737734478532143,0.0,0.0,0.0,0.0,-0.31000000000000005,3.2451124978365313,3.69,1.0617472118959108,8.372622268470339,29.77781266905986,11.46733495432437,0.0,5.112436884724758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.217873443046695,0.0,0.0,0.0,17.330310327771453,0.0,0.0,11.46733495432437,0.0,0.0,0.0,0.0,0.0,11.46733495432437,0.0,0.0,12.217873443046695,5.112436884724758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.04,0.0,0.0,0.0,5.112436884724758,0.0,0.0,0.0,0.0,0.0,23.685208397371067,0.0,0.0,4.092592592592593,0.0,2.220446049250313e-16,9.24074074074074,0.0,0.0,0.0,0.0,0.0,0.0,4,4,2,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0.9794618029739777,0,-0.8113000000000001,20.972800000000007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,4,2,1,0,0,0,0,0,2,2,4,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.88,7.756944444444445,7.756944444444445,1.4004629629629632,-1.7361111111111107,0.4763058525516866,10.333333333333334,144.388,144.388,142.90963204,34,0,0.2771407646015829,-0.19353009583571426,0.2771407646015829,0.19353009583571426,1.3333333333333333,1.5,1.5,35.582513311895326,10.896594376434637,2.15667420895861,-1.902250755092317,2.2295050864061112,-1.9223495682394376,6.69045811141041,1.391852718743103,1.3516441151533922,3.552734354515761,75.77443751081735,5.207106781186548,2.58110701452764,4.848893852583003,2.5606601717798214,1.04055350726382,2.1744469262915014,0.609562467917624,2.8907948917171793,0.1267731382092775,0.3803194146278325,0.0,0.0,0.35999999999999993,12.16479703638053,6.36,1.8809711720226845,4.360000000000002,50.406571504339894,0.0,6.069221312792274,0.0,0.0,3.792535935529771,0.0,0.0,0.0,5.261891554738487,0.0,34.802819670697545,0.0,0.0,0.0,0.0,34.802819670697545,5.261891554738487,0.0,0.0,3.792535935529771,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,34.802819670697545,3.792535935529771,0.0,11.33111286753076,0.0,0.0,0.0,0.0,0.0,23.79,3.792535935529771,0.0,0.0,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,40.064711225436035,-1.7361111111111107,14.662037037037035,0.0,7.756944444444445,0.0,0.0,1.4004629629629632,0.0,0.0,0.0,0.5,6,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1.9938294423440457,0,1.88018,25.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,6,4,0,1,0,0,0,0,1,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.4,7.799768518518519,7.799768518518519,0.18518518518518556,-0.18518518518518556,0.5433359319399053,7.6,198.845,197.837,196.847573232,28,0,0.15564749807935996,-0.19612864902008556,0.19612864902008556,0.15564749807935996,1.6,1.8,1.8,79.93445223115687,10.94154732119497,1.8405354005258105,-1.699759151353814,2.027961998996255,-1.6739022425235421,9.244332034581152,1.4843642183471684,1.3787834934861756,2.939447246323328,53.1585154960715,4.284457050376173,2.280492810708038,5.452485888937447,2.270055610029662,0.9487177128167766,2.780068770400155,0.42979594499380525,3.489915330775533,0.09759000729485331,0.50709255283711,0.0,0.0,0.44999999999999996,9.65148445440323,5.45,2.6747191011235953,4.45,47.231868034977595,0.0,0.0,3.7364420944322307,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,31.859887795898697,0.0,0.0,6.069221312792274,0.0,31.859887795898697,5.261891554738487,0.0,0.0,3.7364420944322307,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,31.859887795898697,3.7364420944322307,0.0,11.33111286753076,0.0,0.0,0.0,0.0,0.0,23.79,0.0,0.0,0.0,3.7364420944322307,0.0,0.0,0.0,0.0,6.069221312792274,31.859887795898697,5.261891554738487,-0.18518518518518556,5.857638888888889,0.0,7.799768518518519,0.0,0.0,1.8611111111111112,0.0,0.0,0.0,0.5,5,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.915443820224719,0,1.62588,27.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,5,3,0,1,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.97,7.62962962962963,7.62962962962963,0.8657407407407411,-0.8657407407407411,0.4309890888185517,7.6,109.94300000000001,108.935,108.948604392,28,0,0.19285531226143693,-0.19530384061859718,0.19530384061859718,0.19285531226143693,1.6,1.8,1.8,35.539166072418254,10.91648378621025,1.85337877615869,-1.6911265051419806,1.9494450604520055,-1.702166174196766,6.456111573573904,1.4528842485037028,1.3787834934861756,2.939447246323328,53.1585154960715,4.284457050376173,2.280492810708038,3.7923507027449466,2.270055610029662,0.9487177128167766,1.8215892737607464,0.42979594499380525,1.526060604539648,0.09759000729485331,0.29277002188455997,0.0,0.0,0.06999999999999995,9.65148445440323,5.07,2.315700245700246,4.070000000000001,40.10330527745822,0.0,0.0,4.836269690250055,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,23.20187978046503,0.0,0.0,6.069221312792274,0.0,23.20187978046503,5.261891554738487,0.0,0.0,4.836269690250055,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,23.20187978046503,4.836269690250055,0.0,11.33111286753076,0.0,0.0,0.0,0.0,0.0,23.79,4.836269690250055,0.0,0.0,0.0,0.0,0.0,0.0,6.069221312792274,0.0,0.0,28.463771335203518,0.0,9.733024691358024,-0.8657407407407411,7.62962962962963,0.0,0.0,1.5586419753086422,0.0,0.0,0.0,0.5,5,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.3481200491400496,0,1.31368,21.106999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,5,3,0,1,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.23,7.578125,7.578125,0.4375,0.4375,0.43544661784636374,5.0,119.94899999999998,117.93299999999999,118.937061164,22,0,0.09053586397828954,-0.19740849570679975,0.19740849570679975,0.09053586397828954,2.0,2.25,2.25,79.91872952670354,10.948343801690784,1.5188017426412945,-1.4418481048909466,1.6780309467895715,-1.4525110531618877,9.089858036272075,1.5019621145575304,1.370950594454669,2.4330963097956353,35.79319390447952,3.414213562373095,2.0322848496957326,3.618281388810437,1.914213562373095,0.844421430255677,1.9658903380020796,0.29174450396463114,0.8524789578378325,0.05976143046671967,0.31052950170405935,0.0,0.0,-0.030000000000000027,6.854752972273345,3.97,2.969999999999999,1.969999999999999,33.36432042933623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,15.929943897949348,0.0,0.0,11.3993109598537,0.0,15.929943897949348,5.261891554738487,0.0,0.0,0.0,5.330089647061427,0.0,0.0,6.069221312792274,0.0,0.0,0.0,15.929943897949348,5.330089647061427,0.0,11.33111286753076,0.0,0.0,0.0,0.0,0.0,23.79,0.0,0.0,0.0,0.0,5.330089647061427,0.0,0.0,0.0,6.069221312792274,15.929943897949348,5.261891554738487,0.0,2.8871527777777777,0.0,8.015625,0.0,0.0,1.8472222222222223,0.0,0.0,0.0,0.5,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2.947724999999999,0,0.90488,19.406999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,4,2,0,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.85,7.493055555555555,7.493055555555555,0.09722222222222232,0.09722222222222232,0.3899188344141469,5.0,75.49799999999999,73.482,74.987576744,22,0,0.10946980530287262,-0.19700783941595343,0.19700783941595343,0.10946980530287262,2.0,2.25,2.25,35.49566221245115,10.935982354430827,1.5230407565604531,-1.4404291444016684,1.6064417645000606,-1.46859814188264,6.188257502172911,1.4920302356047055,1.370950594454669,2.4330963097956353,35.79319390447952,3.414213562373095,2.0322848496957326,2.788213795714187,1.914213562373095,0.844421430255677,1.3789439140805257,0.29174450396463114,0.5590057458770554,0.05976143046671967,0.17928429140015903,0.0,0.0,-0.22000000000000003,6.854752972273345,3.78,2.7799999999999994,1.7799999999999987,29.800039050576547,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,11.600939890232516,0.0,0.0,0.0,6.069221312792274,0.0,11.600939890232516,5.261891554738487,0.0,0.0,0.0,5.880003444970339,0.0,0.0,6.069221312792274,0.0,0.0,0.0,11.600939890232516,5.880003444970339,0.0,11.33111286753076,0.0,0.0,0.0,0.0,0.0,23.79,0.0,0.0,0.0,5.880003444970339,0.0,0.0,0.0,6.069221312792274,0.0,0.0,16.862831444971,0.0,4.824845679012345,0.0,7.493055555555555,0.0,0.09722222222222232,1.6959876543209877,0.0,0.0,0.0,0.5,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2.627099999999999,0,0.74878,16.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,4,2,0,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
